Match the words to their correct meanings:

1. Supple          a) Speech difficulty slutter
2. Retreat         b) ailment illness sickness disorder condition
3. Protrude        c) offering
4. Wail            d) forefather
5. Lisp            e) content
6. Treasured       f) expensive beloved
7. Dear            g) harmony serene calm sanctuary refugee
8. Thrifty         h) grave solemn sombre grim sober
9. Glory           i) soft flexible mobile elastic
10. Malady          j) carless thoughtless
11. Ancestor        k) memento keepsake
12. Pantry          l) brilliance beauty wonder splendour
13. Serious         m) recoil withdraw evacuate flee
14. Satisfied       n) jut out overhang bulge swell
15. Negligent       o) cherished beloved precious
16. Souvenir        p) food storage storeroom
17. Donation        q) howl moan scream cry yelp whine
18. Tranquillity    r) coax entice
19. Hoax            s) miserly careful frugal economical cheap
20. Persuade        t) trick
